Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,R0 DeliJovan,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
1,R0 Dimitrovgrad,146.600000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
2,R0 Kursumlija,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
3,R0 Nis,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
4,R0 Paracin,145.600000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
5,R0 Raska,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
6,R0 Subotica,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
7,R0 Sabac,145.600000,-,0.600000,,67.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
8,R0 Zlatibor,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
9,R0 Zrenjanin,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
10,R0 Vr.Banja,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
11,R0x Be.Palanka,145.612500,,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
12,R0x Leskovac,145.612500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
13,R0x Trstenik,145.612500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
14,R1 Avala,145.625000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
15,R1 Prijepolje,145.625000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
16,R1X Ljubovija,145.637500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
17,R2 Kopaonik,145.650000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
18,R2x Topola,145.662500,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
19,R2x Krupanj,145.662500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
20,R2x Progar,145.662500,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
21,R2x Uzice,145.662500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
22,R3 Vrsac,145.675000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
23,R3 Zajecar,145.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
24,R3x Cacak,145.687500,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
25,R4 Ivanjica,145.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
26,R4 Krusevac,145.700000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
27,R4 Pirot,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
30,RU0 Homolje,434.600000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
31,RU0 Pozega,434.600000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
32,RU3 DeliJovan,434.675000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
33,RU6 Rudnik,434.750000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
34,RU7 Jagodina,438.775000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,RU690 Avala,438.625000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
36,RU692 Kopaonik,438.650000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
37,RU696 Zlatibor,438.700000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
38,RU696 Subotica,438.700000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
39,RU704 Cer,438.800000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
40,RU712 Valjevo,438.900000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,RU720 FruGora,439.000000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
42,RU0 Zajecar,434.600000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
43,RU1 Prijepolje,434.625000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
44,RU1x Bor,434.637500,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
45,RU2x Progar,434.662500,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
46,RU5x Zajecar,434.737500,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
47,RU6 Sombor,434.750000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
48,RU8 Leskovac,434.800000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
49,RU8 Kladovo,434.800000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
50,RU11 Paracin,434.875000,-,1.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
51,RU13 Ivanjica,434.925000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
52,RU15 Arilje,434.950000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
53,RU15 Ugrinovci,434.950000,-,1.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
54,RU692 Nis,438.650000,-,7.600000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
55,RU693 Obrenovac,438.662500,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
56,RU696 Kraljevo,438.700000,-,7.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
57,RU700 Knjazevac,438.750000,-,7.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
58,RU702 Bac,438.775000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
59,RU706 BG,438.825000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
60,RU712 N.Sad,438.900000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
61,RU720 Trstenik,439.000000,-,7.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
62,RU752 Trstenik,439.400000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
70,S8,145.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
71,S8X,145.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
72,S9,145.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
73,S9X,145.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
74,S10,145.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,S10X,145.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
76,S11,145.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
77,S11X,145.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
78,S12,145.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
79,S12X,145.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
80,S13,145.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
81,S13X,145.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
82,S14,145.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
83,S14X,145.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
84,S15,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
85,S15X,145.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
86,S16,145.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
87,S16X,145.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
88,S17,145.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
89,S17X,145.437500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
90,S18,145.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
91,S18X,145.462500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
92,S19,145.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
93,S19X,145.487500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
94,S20,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
95,S20X,145.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
96,S21,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
97,S21X,145.537500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
98,S22,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
99,S22X,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
100,S23,145.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
101,S23X,145.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
110,SU16,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
111,SU16X,433.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
112,SU17,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
113,SU17X,433.437500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
114,SU18,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
115,SU18X,433.462500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
116,SU19,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
117,SU19X,433.487500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
118,SU20,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
119,SU20X,433.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
120,SU21,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
121,SU21X,433.537500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
122,SU22,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
123,SU22X,433.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
124,SU23,433.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
125,SU23X,433.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
130,PMR1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
131,PMR2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
132,PMR3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
133,PMR4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
134,PMR5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
135,PMR6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
136,PMR7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
137,PMR8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
138,PMR9,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
139,PMR10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
140,PMR11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
141,PMR12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
142,PMR13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
